shopify_handle,sugerencia_slug_nuevo,score,gap,confianza
panuelo-salvador-dali,panuelo-la-tentacion-dali-1500,0.5,0.1,MEDIA
pantalon-tricotina-kakhi,pantalon-cargo-beige-72,0.2,0.03,BAJA
sahariana-verde-espiga,sahariana-verde-cuadro-lana-1305,0.4,0.2,BAJA
camisa-blanca-gemelo,camisa-algodon-blanca-puno-gemelo-148,0.6,0.27,MEDIA
corbata-grenadine-negro,guayabera-lino-negro,0.2,0,BAJA
polera-celeste,polera-punto-azul-celeste-194,0.5,0.25,MEDIA
copia-de-camisa-fil-a-fil-celeste-gemelo,camisa-algodon-fil-a-fil-celeste-puno-gemelo-152,0.71,0.21,MEDIA
camisa-cuello-vista-blanca-textura,camisa-cuello-vista-textura-blanca-1418,1,0.33,ALTA
jersey-cuello-perkins-azul,jersey-lana-azul-cuello-perkins-1311,0.8,0.3,ALTA
panuelo-la-japonesa-copia,panuelo-samurai-371,0.33,0,BAJA
pantalon-franela-gris-marengo,pantalon-franela-gris-marengo-pinza-cinturon-54,0.67,0.24,MEDIA
camisa-cuello-vista-azul-textura,camisa-cuello-vista-textura-blanca-1418,0.67,0,MEDIA
eneas-y-latino,,0,0,BAJA
corbata-7-pliegues,pantalon-pana-crudo-cenidor-2-pliegues-48,0.13,0,BAJA
corbata-7-pliegues-marron-oscuro,pantalon-pana-marron-cenidor-2-pliegues-49,0.22,0.08,BAJA
polera-blanca,polera-punto-blanco-191,0.25,0.05,BAJA
corbata-7-pliegues-azulon,jersey-lambswool-azulon-220,0.17,0.04,BAJA
pantalon-franela-gris-claro-copia,pantalon-franela-gris-claro-pinza-cenidor-1376,0.67,0.07,MEDIA
vidriera-palau,,0,0,BAJA
calzoncillo-anclas,calzoncillo-anclas-azules-213,0.67,0.33,MEDIA
copia-de-gabardina-cuadro-ventana-verde,sahariana-verde-cuadro-lana-1305,0.33,0,BAJA
jersey-cuello-perkins-beige,jersey-lana-beige-cuello-perkins-1309,0.8,0.3,ALTA
corbata-7-pliegues-noche,gabardina-cashmere-azul-noche-reversible-122,0.13,0.01,BAJA
pantalon-lana-gris-medio,pantalon-lana-gris-pinza-cinturon-58,0.5,0,MEDIA
sahariana-nylon,sahariana-beige-lino-34,0.25,0.05,BAJA
corbata-grenadine-marron,jersey-lambswool-marron-224,0.2,0.03,BAJA
pajarita-negra-lazo,pajarita-negra-lazo-tu-829,0.75,0.58,MEDIA
polera-atenas,polera-punto-blanco-191,0.25,0.05,BAJA
camisa-raya-beige,camisa-raya-azul-con-negro-canclin-1417,0.33,0.05,BAJA
americana-bolsillo-de-parche,americana-franela-beige-bolsillo-de-parche-95,0.6,0,MEDIA
cazadora-nylon-kakhi,cazadora-tecnico-khaki-121,0.2,0,BAJA
pantalon-algodon-tinta,pantalon-algodon-tinta-cenidor-39,0.75,0.35,MEDIA
camisa-milrayas-rosa-gemelo,camisa-algodon-fil-a-fil-rosa-puno-gemelo-153,0.38,0,BAJA
panuelo-las-senoritas-de-avignon,panuelo-las-senoritas-de-avignon-tu-1082,0.8,0.6,ALTA
corbata-grenadine-azulon,jersey-lambswool-azulon-220,0.2,0.06,BAJA
camisa-milrayas-rosa-boton-copia,camisa-algodon-oxford-rosa-button-down-164,0.25,0.03,BAJA
jersey-cuello-perkins-gris,jersey-lana-gris-marengo-cuello-perkins-1310,0.67,0.17,MEDIA
pantalon-cargo-tecnico-verde,pantalon-cargo-tecnico-verde-cenidor-plano-45,0.67,0.1,MEDIA
corbata-grenadine-beige,sahariana-beige-lino-34,0.2,0,BAJA
pajarita-azul-marino,americana-tecnica-azul-marino-1180,0.4,0,BAJA
corbata-7-pliegues-marino,jersey-lambswool-marino-219,0.17,0,BAJA
calzoncillo-cuadro-vichi,calzoncillo-cuadro-vichi-214,1,0.75,ALTA
blazer-azul,americana-cashmere-azul-1278,0.25,0.05,BAJA
camisa-oxford-azul-medio,camisa-algodon-oxford-azul-medio-button-down-165,0.57,0.14,MEDIA
sobrecamisa-cashmere-verde,sobrecamisa-lana-verde-cuatro-bolsillos-1177,0.33,0.13,BAJA
camisa-rayas-multicolor,camisa-algodon-rayas-multicolor-174,0.75,0.35,MEDIA
calzoncillo-flores,calzoncillo-flores-216,1,0.75,ALTA
pantalon-franela-gris-medio,pantalon-franela-gris-medio-pinza-cinturon-55,0.67,0.24,MEDIA
camisa-oxford-blanca,camisa-algodon-oxford-blanca-button-down-166,0.5,0.17,MEDIA
panuelo-rene-magritte,panuelo-samurai-371,0.25,0,BAJA
copia-de-pijama-de-rayas-vivo-naranja,pijama-gales-vivo-naranja-239,0.6,0.27,MEDIA
camisa-cuadro-multicolor,camisa-algodon-cuadro-multicolor-175,0.75,0.35,MEDIA
panuelo-las-senoritas-de-avignon-copia,panuelo-las-senoritas-de-avignon-tu-1082,0.8,0.6,ALTA
corbata-7-pliegues-marron-oscuro-1,pantalon-pana-marron-cenidor-2-pliegues-49,0.22,0.08,BAJA
pantalon-algodon-marino,pantalon-algodon-marino-cenidor-38,0.75,0.32,MEDIA
camisa-milrayas-azul-boton,camisa-algodon-cuadros-finos-azul-755,0.29,0,BAJA
pijama-gales-con-vivo-verde,pijama-gales-vivo-naranja-239,0.6,0,MEDIA
gabardina-cuadro-ingles,calzoncillo-cuadro-vichi-214,0.2,0.03,BAJA
pantalon-cargo-kakhi,pantalon-cargo-beige-72,0.5,0.21,MEDIA
pijama-blanco-con-vivo-marino,pijama-blanco-vivo-marino-241,1,0.67,ALTA
pijama-de-rayas-vivo-amarillo,pijama-gales-vivo-amarillo-238,0.6,0.27,MEDIA
americana-bolsillo-con-fuelle,americana-lana-verde-bolsillo-de-fuelle-93,0.6,0.27,MEDIA
chaqueta-nylon-star,,0,0,BAJA
dama-nouveau,,0,0,BAJA
pantalon-algodon-crudo,pantalon-algodon-tinta-cenidor-39,0.4,0,BAJA
teba-azul-marino,americana-tecnica-azul-marino-1180,0.4,0,BAJA
niza,panuelo-niza-368,0.5,0.5,MEDIA
sahariana-nylon-kakhi,sahariana-beige-lino-34,0.2,0.03,BAJA
polera-gris,polera-prats-color-gris-1428,0.5,0.25,MEDIA
camisa-oxford-rosa,camisa-algodon-oxford-rosa-button-down-164,0.5,0.21,MEDIA
calzoncillo-fil-a-fil-azul,calzoncillo-fil-a-fil-azul-215,1,0.4,ALTA
teba-punto-verde-clasica,teba-clasica-verde-punto-cashwool-28,0.8,0.3,ALTA
camisa-blanca,camisa-cuello-vista-textura-blanca-1418,0.4,0,BAJA
la-isla-de-san-michele-venecia-francesco-guardi,,0,0,BAJA
pantalon-cargo-beige,pantalon-cargo-beige-72,1,0.6,ALTA
teba-punto-azulon-clasica,teba-clasica-azulon-esterilla-lana-13,0.5,0,MEDIA
sobrecamisa-azul,sobrecamisa-espiga-azul-4-bolsillos-drapers-1690,0.33,0.08,BAJA
americana-pana,americana-pana-topo-bolsillo-de-parche-96,0.4,0.15,BAJA
a-bigger-splash-david-hockney,panuelo-a-bigger-splash-david-hockney-357,0.83,0.71,ALTA
calzoncillo-blanco,calzoncillo-liso-blanco-217,0.67,0.33,MEDIA
panuelo-a-little-bigger,panuelo-a-bigger-splash-david-hockney-357,0.43,0.1,BAJA
pantalon-pana-caldero,pantalon-pana-caldero-cenidor-2-pliegues-50,0.5,0.17,MEDIA
panuelo,panuelo-samurai-371,0.5,0,MEDIA
camisa-vaquera,camisa-smokin-163,0.33,0.13,BAJA
panuelo-3,panuelo-samurai-371,0.5,0,MEDIA
pantalon-algodon-caqui,pantalon-algodon-tinta-cenidor-39,0.4,0,BAJA
